"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\types\static.d.ts", "TypeScript", 5, 3, 3, 11
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\utils\index.ts", "TypeScript", -102, 0, -16, -118
"Total", "-", -97, 3, -13, -107
