"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\types\static.d.ts", "TypeScript", 5, 3, 3, 11
"Total", "-", 5, 3, 3, 11
